message,label
"Felicidades! Has ganado un ticket gratis a las Bahamas. Haz clic aquí para reclamarlo.",spam
"Hola, ¿cómo estás hoy?",ham
"Entrada gratuita en una competición semanal para ganar entradas para la final de la FA Cup el 21 de mayo de 2005. Envía FA al 87121 para recibir la pregunta de entrada (tarifa de texto estándar)",spam
"¿Escuchaste sobre el nuevo restaurante que acaba de abrir?",ham
"¡URGENTE! Tu número de móvil ha sido premiado con £2000!",spam
"¿Podemos reprogramar nuestra reunión para mañana?",ham
"Gana un premio en efectivo! Envía GANAR al 12345.",spam
"¿Estás libre este fin de semana? Vamos a ponernos al día.",ham
"Mensaje importante sobre tu reciente accidente de coche. ¡Reclama ahora!",spam
"No te olvides de la reunión a las 3 PM.",ham
"¡Oferta por tiempo limitado! Compra uno y llévate otro gratis.",spam
"Vamos a almorzar juntos hoy.",ham
"Felicidades, has sido seleccionado para recibir una tarjeta de regalo de $1000. ¡Llama ahora!",spam
"¡Feliz cumpleaños! Espero que tengas un gran día.",ham
"Tu solicitud de préstamo ha sido aprobada. Contáctanos para finalizarla.",spam
"¿Puedes enviarme el informe antes del final del día?",ham
"Has sido pre-aprobado para un préstamo de $5000. ¡Solicítalo ahora!",spam
"Esperando nuestro viaje el próximo mes.",ham
"¡Gana un coche nuevo! Haz clic aquí para participar en la competición.",spam
"Solo estoy revisando para ver cómo estás.",ham


